,Sp,Date,Home,Away,Erg,Q_1,Q_0,Q_2,Q_10,Q_20,Q_30,Q_21,Q_31,Q_32,Q_00,Q_11,Q_22,Q_33,Q_01,Q_02,Q_03,Q_12,Q_13,Q_23,Spiel_ID
0,1,2004-08-06,28,35,1:0,2.28,3.4,3.7,11.5,14.0,26.0,9.4,25.0,29,14.5,7.2,15.0,60,15.5,24.0,60.0,13.5,36.0,34,12489
1,1,2004-08-07,10,41,1:2,1.74,3.8,6.0,8.8,11.0,16.0,8.2,13.0,26,16.0,8.0,16.0,60,21.0,48.0,140.0,19.0,60.0,60,12492
2,1,2004-08-07,54,44,0:2,4.7,3.5,1.96,15.5,36.0,110.0,18.5,48.0,46,15.5,6.8,17.5,60,8.8,10.5,24.0,10.5,18.0,25,12495
3,1,2004-08-07,40,23,2:2,1.81,4.0,4.9,8.8,11.5,22.0,9.2,15.5,25,15.5,8.2,18.0,50,19.5,34.0,95.0,15.0,55.0,60,12494
4,1,2004-08-07,25,42,1:3,2.0,3.45,4.6,9.8,13.0,23.0,8.8,17.0,26,19.0,7.8,16.5,48,17.0,34.0,90.0,17.0,46.0,50,12490
5,1,2004-08-07,36,5,2:1,1.62,4.3,6.4,9.8,10.5,14.0,8.2,12.5,27,18.0,10.0,17.0,60,24.0,50.0,130.0,22.0,60.0,70,12493
6,1,2004-08-07,56,29,0:0,2.4,3.3,3.5,11.0,15.0,26.0,10.0,18.5,29,15.5,7.0,14.0,60,14.5,25.0,70.0,13.0,32.0,36,12491
7,1,2004-08-08,3,53,0:0,2.74,3.35,2.92,10.0,17.0,44.0,13.0,26.0,32,13.5,7.2,15.0,60,12.0,20.0,60.0,13.0,30.0,48,12496
8,1,2004-08-08,2,55,4:2,1.5,4.8,7.8,8.6,7.4,11.5,10.5,13.0,34,18.0,9.6,25.0,95,30.0,65.0,270.0,28.0,90.0,110,12497
9,2,2004-08-14,42,2,1:1,3.4,3.55,2.3,14.0,22.0,65.0,13.5,32.0,40,15.0,7.6,15.5,60,11.5,15.5,25.0,11.0,21.0,30,12503
10,2,2004-08-14,44,40,1:1,1.39,5.4,10.0,9.4,7.8,13.0,10.5,10.5,32,20.0,12.5,23.0,95,30.0,95.0,270.0,34.0,100.0,120,12499
11,2,2004-08-14,35,25,2:1,1.5,4.7,8.0,8.6,8.2,12.0,9.4,12.5,30,17.5,8.8,19.0,70,27.0,60.0,170.0,28.0,85.0,75,12502
12,2,2004-08-14,55,54,2:1,2.68,3.55,2.8,13.0,19.5,44.0,11.0,25.0,30,16.0,7.4,13.0,50,13.5,21.0,34.0,12.0,25.0,34,12498
13,2,2004-08-14,29,28,0:4,3.6,3.5,2.24,14.0,26.0,70.0,14.0,36.0,38,12.5,8.4,17.5,60,11.0,13.0,28.0,9.8,21.0,32,12501
14,2,2004-08-14,53,10,2:3,2.8,3.5,2.76,11.5,19.0,48.0,12.0,27.0,32,13.5,7.2,15.5,60,8.8,19.0,40.0,12.5,25.0,36,12500
15,2,2004-08-15,23,36,2:2,2.86,3.45,2.74,14.0,21.0,46.0,11.5,25.0,30,17.0,7.6,15.5,60,14.0,20.0,44.0,11.0,26.0,30,12504
16,2,2004-08-15,41,56,0:1,1.61,4.1,7.0,9.4,9.4,14.0,9.6,12.0,30,17.0,9.0,17.5,70,23.0,50.0,140.0,21.0,70.0,70,12505
17,2,2004-09-28,5,3,0:1,1.92,3.6,4.7,8.8,11.5,20.0,9.8,19.0,29,15.5,7.4,19.0,65,17.0,34.0,90.0,15.5,44.0,28,12506
18,3,2004-08-28,3,23,1:2,2.66,3.6,2.8,11.0,19.0,44.0,10.5,24.0,27,13.5,7.6,14.0,55,12.0,20.0,36.0,10.5,23.0,42,12509
19,3,2004-08-28,35,29,0:2,1.54,4.4,7.6,9.0,8.2,12.0,10.5,13.5,32,17.0,9.4,19.5,85,23.0,60.0,180.0,26.0,90.0,85,12513
20,3,2004-08-28,54,42,4:3,1.85,4.0,4.7,10.5,12.0,18.5,9.4,15.5,26,19.5,7.6,16.5,55,20.0,42.0,80.0,16.5,40.0,42,12512
21,3,2004-08-28,40,55,1:1,1.55,4.4,7.4,9.6,8.8,12.5,9.4,13.0,28,23.0,9.8,17.0,60,27.0,50.0,170.0,23.0,65.0,50,12511
22,3,2004-08-28,25,2,2:3,3.6,3.5,2.26,13.5,22.0,60.0,15.0,38.0,55,15.5,7.6,15.5,65,10.5,15.5,30.0,10.5,20.0,25,12507
23,3,2004-08-28,36,44,4:1,3.5,3.4,2.36,14.5,25.0,60.0,11.5,30.0,50,16.0,7.4,15.5,60,13.0,17.0,26.0,10.0,21.0,29,12510
24,3,2004-08-28,56,53,1:1,2.28,3.55,3.5,10.5,14.5,32.0,10.5,19.0,26,14.5,7.6,15.0,55,14.5,23.0,50.0,14.0,32.0,34,12508
25,3,2004-08-29,10,5,1:1,1.53,4.8,7.0,9.6,9.2,11.0,10.5,11.0,36,21.0,10.5,19.5,85,23.0,70.0,170.0,26.0,70.0,60,12514
26,3,2004-08-29,28,41,1:2,1.54,4.6,7.2,9.6,9.0,12.0,9.4,11.5,30,20.0,9.2,18.5,70,24.0,60.0,190.0,22.0,70.0,60,12515
27,4,2004-09-11,42,40,0:0,2.64,3.55,2.9,9.2,19.5,40.0,9.2,24.0,55,17.0,7.2,15.5,60,11.0,19.0,38.0,12.0,29.0,46,12522
28,4,2004-09-11,44,3,1:0,1.24,7.2,16.5,9.6,8.4,8.0,13.5,11.5,40,27.0,15.5,36.0,200,36.0,130.0,860.0,60.0,240.0,170,12517
29,4,2004-09-11,55,36,2:0,4.3,3.65,1.99,15.5,38.0,90.0,13.5,44.0,40,18.5,8.2,15.0,60,10.5,13.0,20.0,9.2,17.0,27,12516
30,4,2004-09-11,53,28,3:1,3.25,3.4,2.48,9.0,24.0,55.0,15.0,30.0,34,13.0,8.2,17.0,60,12.0,16.0,32.0,9.8,18.0,32,12519
31,4,2004-09-11,2,54,2:0,1.65,4.0,6.6,7.6,10.5,16.0,8.2,14.5,32,16.0,7.6,20.0,70,20.0,60.0,190.0,20.0,80.0,65,12521
32,4,2004-09-11,23,10,2:2,2.64,3.45,2.98,10.5,20.0,36.0,10.0,27.0,38,16.5,7.4,15.5,60,14.5,21.0,42.0,11.0,34.0,55,12518
33,4,2004-09-11,41,35,3:0,2.42,3.6,3.15,11.0,17.0,32.0,11.5,21.0,32,17.0,8.4,16.5,55,15.0,22.0,48.0,15.0,29.0,42,12520
34,4,2004-09-12,5,56,2:2,1.82,3.95,5.0,8.0,10.5,19.5,8.8,19.0,28,16.5,7.2,17.0,70,15.0,38.0,100.0,15.0,55.0,60,12523
35,4,2004-09-12,29,25,2:3,2.0,3.7,4.2,9.0,13.0,23.0,8.8,18.5,30,16.0,7.2,15.5,50,15.0,34.0,85.0,14.5,40.0,40,12524
36,5,2004-09-18,3,55,1:1,2.3,3.5,3.45,9.4,15.5,34.0,10.0,25.0,28,12.5,7.8,23.0,70,12.0,22.0,60.0,13.5,32.0,44,12527
37,5,2004-09-18,10,44,2:2,3.0,3.5,2.6,12.0,22.0,55.0,11.0,32.0,55,12.5,7.2,17.0,85,10.5,15.5,36.0,10.0,22.0,55,12526
38,5,2004-09-18,35,53,3:2,1.86,3.65,5.2,8.8,11.0,19.0,9.0,14.5,28,15.0,7.2,17.5,60,17.0,34.0,110.0,17.5,50.0,60,12530
39,5,2004-09-18,29,41,1:2,2.46,3.55,3.1,12.5,19.0,36.0,9.8,19.5,32,15.0,8.4,14.0,55,14.0,22.0,46.0,11.5,25.0,36,12529
40,5,2004-09-18,25,54,2:1,2.3,3.45,3.55,12.0,16.5,26.0,9.2,17.5,29,15.5,8.0,14.5,48,14.0,27.0,55.0,14.0,29.0,30,12525
41,5,2004-09-18,36,42,2:2,1.51,4.5,8.4,9.4,9.8,12.5,9.2,12.0,28,21.0,9.8,18.5,80,27.0,70.0,210.0,24.0,85.0,85,12528
42,5,2004-09-18,28,5,3:0,1.63,4.1,6.6,8.0,11.0,15.5,9.0,13.5,28,17.5,8.4,18.0,70,22.0,50.0,150.0,21.0,85.0,65,12531
43,5,2004-09-19,40,2,0:0,2.6,3.55,2.92,10.5,17.5,42.0,10.0,23.0,38,12.0,7.8,14.5,65,11.0,20.0,48.0,11.5,27.0,38,12533
44,5,2004-09-19,56,23,1:1,2.42,3.35,3.35,10.0,17.5,32.0,9.6,22.0,40,13.0,8.0,15.0,50,12.0,25.0,55.0,12.0,28.0,36,12532
45,6,2004-09-25,42,3,1:2,1.88,3.7,4.8,8.6,11.0,21.0,11.0,15.0,25,14.5,8.4,18.0,70,16.5,32.0,95.0,16.0,50.0,34,12540
46,6,2004-09-25,44,56,3:1,1.34,5.6,12.5,9.2,8.2,9.8,11.0,11.5,34,25.0,10.5,28.0,120,36.0,100.0,440.0,38.0,160.0,100,12534
47,6,2004-09-25,5,35,1:0,2.94,3.4,2.66,13.5,20.0,48.0,10.5,24.0,40,13.5,8.2,14.0,46,11.5,17.0,32.0,10.0,21.0,38,12536
48,6,2004-09-25,53,29,2:2,1.9,3.65,4.8,9.2,12.0,21.0,9.0,15.5,25,16.5,7.8,18.0,60,20.0,38.0,85.0,18.0,50.0,34,12537
49,6,2004-09-25,2,36,3:0,2.24,3.4,3.75,9.6,14.5,28.0,10.5,18.5,27,13.5,7.8,17.0,50,17.0,26.0,70.0,14.0,36.0,34,12539
50,6,2004-09-25,23,28,1:4,2.9,3.35,2.76,14.0,24.0,46.0,10.0,23.0,40,14.5,8.2,14.0,48,13.5,20.0,32.0,10.5,21.0,36,12535
51,6,2004-09-25,41,25,2:1,1.7,4.0,5.8,10.5,11.0,14.5,8.4,12.0,29,19.0,8.4,18.5,70,26.0,60.0,130.0,20.0,60.0,65,12538
52,6,2004-09-26,55,10,1:1,3.3,3.5,2.4,12.5,23.0,55.0,12.0,30.0,40,17.5,8.0,17.0,65,11.5,14.5,27.0,9.6,21.0,34,12541
53,6,2004-09-26,54,40,2:1,2.28,3.55,3.5,9.8,15.0,28.0,10.5,19.0,29,14.0,8.2,19.0,60,14.5,25.0,60.0,14.5,34.0,29,12542
54,7,2004-10-02,10,42,2:2,1.51,4.7,7.8,9.6,9.0,12.0,8.8,12.0,29,20.0,9.6,19.5,80,26.0,60.0,190.0,29.0,80.0,85,12545
55,7,2004-10-02,29,5,1:3,2.08,3.5,4.2,9.6,13.5,23.0,8.8,21.0,28,17.0,8.2,15.5,60,21.0,32.0,75.0,14.5,40.0,34,12548
